Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Programme
Development Budget Estimates,BUGIRI District,Central Government,"20,638",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:504,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,BUGIRI District,Central Government,"324,126",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:504,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,BUGIRI District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:504,,Project  1385 HEALTH DEVELOPMENT
Development Budget Estimates,BUGIRI District,Central Government,"670,024",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:504,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUGIRI District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:504,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"577,314",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:505,,Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"366,337",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:505,,Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"786,362",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:505,,Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:505,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"364,792",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:505,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"192,435",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:505,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"159,600",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:505,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"30,000",o/w IFMIS District,2017/18 Draft Estimates,Vote:505,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"11,415",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:505,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"199,683",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:505,,Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"13,287",o/w Buganikire Town Council,2017/18 Draft Estimates,Vote:505,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"75,728",o/w Bundibugyo Town Council,2017/18 Draft Estimates,Vote:505,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"13,287",o/w Busunga Town Council,2017/18 Draft Estimates,Vote:505,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"13,287",o/w Butama-Mitunda Town Council,2017/18 Draft Estimates,Vote:505,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"15,440",o/w Ntandi Town Council,2017/18 Draft Estimates,Vote:505,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"68,654",o/w Nyahuka Town Council,2017/18 Draft Estimates,Vote:505,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"388,466",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:505,,Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"1,661,515",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:505,,Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"125,048",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:505,,Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"316,577",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:505,,Programme  01 Administration
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"414,772",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:505,,Programme  04 Production and Marketing
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"45,697",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:505,,Programme  04 Production and Marketing
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"3,933,776",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:505,,Programme  05 Health
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"3,933,776",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:505,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"367,586",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:505,,Programme  05 Health
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"193,934",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:505,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"173,652",o/w Primary Healthcare - Hospital Non Wage Recurrent,2017/18 Draft Estimates,Vote:505,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"9,719,654",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:505,,Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"8,234,724",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:505,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"1,227,239",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:505,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"257,691",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:505,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"1,531,644",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:505,,Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"35,650",o/w Inspection,2017/18 Draft Estimates,Vote:505,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"480,026",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:505,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"762,617",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:505,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"253,350",o/w Skills Development - Non Wage Recurrent,2017/18 Draft Estimates,Vote:505,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"41,257",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:505,,Programme  07 Works
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"6,273",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:505,,Programme  08 Natural Resources
Recurrent Budget Estimates,BUNDIBUGYO District,Central Government,"58,133",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:505,,Programme  09 Community Based Services
Development Budget Estimates,BUNDIBUGYO District,Central Government,"37,517",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:505,,Project  0100 PRODUCTION DEVELOPMENT
Development Budget Estimates,BUNDIBUGYO District,Central Government,"452,425",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:505,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,BUNDIBUGYO District,Central Government,"20,638",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:505,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,BUNDIBUGYO District,Central Government,"251,135",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:505,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,BUNDIBUGYO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:505,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,BUNDIBUGYO District,Central Government,"300,000",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:505,,Project  1385 HEALTH DEVELOPMENT
Development Budget Estimates,BUNDIBUGYO District,Central Government,"794,274",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:505,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,"88,884",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:505,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,68,o/w Buganikire Town Council,2017/18 Draft Estimates,Vote:505,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,"46,120",o/w Bundibugyo Town Council,2017/18 Draft Estimates,Vote:505,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,68,o/w Busunga Town Council,2017/18 Draft Estimates,Vote:505,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,68,o/w Butama-Mitunda Town Council,2017/18 Draft Estimates,Vote:505,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,"1,656",o/w Ntandi Town Council,2017/18 Draft Estimates,Vote:505,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,"40,903",o/w Nyahuka Town Council,2017/18 Draft Estimates,Vote:505,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,"100,000",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:505,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,"100,000",o/w Start-up Fund for Ntandi TC,2017/18 Draft Estimates,Vote:505,321472  Transitional Development Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUNDIBUGYO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:505,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,BUSHENYI District,Central Government,"2,087,903",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:506,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"621,101",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:506,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"647,464",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:506,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:506,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"278,695",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:506,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"136,235",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:506,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"120,720",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:506,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"47,143",o/w IFMIS District,2017/18 Draft Estimates,Vote:506,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"25,000",o/w IPPS District,2017/18 Draft Estimates,Vote:506,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI District,Central Government,"11,551",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:506,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
