columnType,budgetType,value,year,vote,sp_pj,page,programme
Total,Recurrent Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,568,Programmme 01  Transport Regulation
Wage,Recurrent Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,568,Programmme 01  Transport Regulation
Non Wage,Recurrent Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,568,Programmme 01  Transport Regulation
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,568,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,569,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,570,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,570,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,570,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,570,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,570,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,570,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,570,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,571,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,572,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,573,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"14,240,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,573,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,573,Programmme 01  Transport Regulation
Total,Development Budget Estimates,"15,690,000",2016/17 Approved Budget,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,573,Programmme 01  Transport Regulation
GoU Dev't,Development Budget Estimates,"1,450,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,573,Programmme 01  Transport Regulation
External Fin,Development Budget Estimates,"15,800,000",2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,573,Programmme 01  Transport Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:016 Ministry of Works and Transport,SubProgramme 11 Transport Infrastructure and Services,573,Programmme 01  Transport Regulation
